id,korean,romanization,english,partOfSpeech,topikLevel,category,labels,lessons,sources,primarySource,sourceGroup,sourceType
kv0455,복잡하다,bok-jap-ha-da,to be be complicated,adjective,2,animals-nature,animals-nature|descriptions-qualities,bab18,topik2-level4-vocab|bab18|test-intermediate-reading-1|topik-core,topik2-level4-vocab,topik-vocab,workbook+topik
kv0456,색,saek,color,noun,2,general-core,general-core,bab05,bab05|topik-core,bab05,bab,workbook+topik
kv0457,식당,sik-dang,restaurant,noun,2,places-buildings,places-buildings,bab03|bab04|bab07|bab08|bab10|bab19|bab20,topik1-vocab|bab03|bab04|bab07|bab08|bab10|bab19|bab20|test-intermediate-1|test-level-2-mock|test-level-2-practice|test-intermediate-reading-3|test-topik-ii-level-3-practice-2|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0458,십이월,sip-i-ueol,december,noun,2,general-core,general-core,bab08,bab08|topik-core,bab08,bab,workbook+topik
kv0459,종이,jong-i,paper,noun,2,general-core,general-core,bab15,bab15|test-level-2-mock|test-level-2-practice|test-intermediate-reading-3|topik-core,bab15,bab,workbook+topik
kv0460,대답,dae-dap,an answer,noun,2,communication-media,communication-media,bab02,bab02|topik-core,bab02,bab,workbook+topik
kv0461,춤,chum,dance,noun,2,hobbies-sports,hobbies-sports,bab06|bab20,bab06|bab20|topik-core,bab06,bab,workbook+topik
kv0462,드리다,deu-ri-da,to give (honorific),verb,2,greetings-politeness,greetings-politeness,bab11|bab17,bab11|bab17|test-level-2-mock|topik-core,bab11,bab,workbook+topik
kv0463,깨끗하다,ggae-ggeus-ha-da,to be clean,adjective,2,home-household,home-household|descriptions-qualities,bab05|bab06,bab05|bab06|topik-core,bab05,bab,workbook+topik
kv0464,과일,goa-il,fruit,noun,2,food-drink,food-drink,bab02|bab14|bab20,topik1-vocab|bab02|bab14|bab20|test-level-2-mock|test-reading-skills-set|test-reading-20|test-intermediate-reading-3|topik-core,topik1-vocab,topik-vocab,workbook+topik
kv0465,시월,si-ueol,october,noun,2,general-core,general-core,bab08|bab09,bab08|bab09|topik-core,bab08,bab,workbook+topik
kv0466,어서,eo-seo,quickly 2) kindly,adverb,2,verbs-actions,verbs-actions,bab12|bab13|bab20,bab12|bab13|bab20|topik-core,bab12,bab,workbook+topik
kv0467,가방,ga-bang,bag,noun,2,general-core,general-core,bab02|bab04|bab05|bab07,bab02|bab04|bab05|bab07|test-intermediate-1|test-level-2-practice|topik-core,bab02,bab,workbook+topik
kv0468,방학,bang-hak,school vacation,noun,2,school-study,school-study|time-calendar|animals-nature,bab09|bab19,bab09|bab19|topik-core,bab09,bab,workbook+topik
